xmin,ymin,xmax,ymax,label,file,width,height,annotation_file,image_file,cropped_image_file
368,112,400,151,with_mask,maksssksksss103,400,300,maksssksksss103.xml,maksssksksss103.png,maksssksksss103-36.png
178,143,213,202,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-37.png
280,103,312,145,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-38.png
320,79,352,119,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-39.png
365,53,390,84,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-40.png
243,36,267,67,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-41.png
115,47,146,87,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-42.png
33,88,65,131,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-43.png
29,202,65,265,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-44.png
26,34,52,66,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-45.png
42,109,66,140,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-46.png
2,105,22,125,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-47.png
30,88,46,105,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-48.png
133,108,174,152,with_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-49.png
221,101,256,139,with_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-50.png
304,131,331,158,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-51.png
83,85,96,96,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-52.png
167,91,180,108,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-53.png
79,105,109,142,without_mask,maksssksksss0,512,366,maksssksksss0.xml,maksssksksss0.png,maksssksksss0-54.png
185,100,226,144,with_mask,maksssksksss0,512,366,maksssksksss0.xml,maksssksksss0.png,maksssksksss0-55.png
325,90,360,141,without_mask,maksssksksss0,512,366,maksssksksss0.xml,maksssksksss0.png,maksssksksss0-56.png
321,34,354,69,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-57.png
224,38,261,73,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-58.png
299,58,315,81,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-59.png
143,74,174,115,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-60.png
74,69,95,99,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-61.png
191,67,221,93,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-62.png
21,73,44,93,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-63.png
369,70,398,99,with_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-64.png
83,56,111,89,without_mask,maksssksksss1,400,156,maksssksksss1.xml,maksssksksss1.png,maksssksksss1-65.png
98,267,194,383,with_mask,maksssksksss10,301,400,maksssksksss10.xml,maksssksksss10.png,maksssksksss10-66.png
216,92,372,251,with_mask,maksssksksss109,400,400,maksssksksss109.xml,maksssksksss109.png,maksssksksss109-67.png
189,30,245,88,with_mask,maksssksksss100,400,226,maksssksksss100.xml,maksssksksss100.png,maksssksksss100-68.png
387,54,400,75,with_mask,maksssksksss100,400,226,maksssksksss100.xml,maksssksksss100.png,maksssksksss100-69.png
118,87,163,126,with_mask,maksssksksss100,400,226,maksssksksss100.xml,maksssksksss100.png,maksssksksss100-70.png
212,57,251,106,with_mask,maksssksksss102,400,225,maksssksksss102.xml,maksssksksss102.png,maksssksksss102-71.png
23,114,77,172,mask_incorrectly_worn,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-72.png
147,157,200,211,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-73.png
201,191,230,234,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-74.png
243,192,293,247,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-75.png
309,182,346,224,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-76.png
249,108,276,140,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-77.png
275,99,303,128,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-78.png
195,90,214,113,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-79.png
214,76,237,99,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-80.png
232,50,247,67,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-81.png
266,45,281,61,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-82.png
207,47,222,63,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-83.png
227,36,239,48,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-84.png
253,33,267,45,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-85.png
290,31,304,41,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-86.png
362,32,372,40,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-87.png
154,51,423,391,with_mask,maksssksksss106,600,399,maksssksksss106.xml,maksssksksss106.png,maksssksksss106-88.png
111,106,146,164,with_mask,maksssksksss586,400,267,maksssksksss586.xml,maksssksksss586.png,maksssksksss586-89.png
194,115,224,164,with_mask,maksssksksss586,400,267,maksssksksss586.xml,maksssksksss586.png,maksssksksss586-90.png
22,120,50,161,with_mask,maksssksksss586,400,267,maksssksksss586.xml,maksssksksss586.png,maksssksksss586-91.png
13,84,27,106,with_mask,maksssksksss797,400,245,maksssksksss797.xml,maksssksksss797.png,maksssksksss797-92.png
44,57,60,77,with_mask,maksssksksss797,400,245,maksssksksss797.xml,maksssksksss797.png,maksssksksss797-93.png
76,80,90,93,with_mask,maksssksksss797,400,245,maksssksksss797.xml,maksssksksss797.png,maksssksksss797-94.png
122,69,137,87,with_mask,maksssksksss797,400,245,maksssksksss797.xml,maksssksksss797.png,maksssksksss797-95.png
190,73,206,91,with_mask,maksssksksss797,400,245,maksssksksss797.xml,maksssksksss797.png,maksssksksss797-96.png
228,82,241,100,with_mask,maksssksksss797,400,245,maksssksksss797.xml,maksssksksss797.png,maksssksksss797-97.png
281,67,295,85,with_mask,maksssksksss797,400,245,maksssksksss797.xml,maksssksksss797.png,maksssksksss797-98.png
368,61,390,97,without_mask,maksssksksss797,400,245,maksssksksss797.xml,maksssksksss797.png,maksssksksss797-99.png
74,62,120,112,with_mask,maksssksksss831,400,241,maksssksksss831.xml,maksssksksss831.png,maksssksksss831-100.png
60,121,219,301,with_mask,maksssksksss669,300,400,maksssksksss669.xml,maksssksksss669.png,maksssksksss669-101.png
107,277,216,400,with_mask,maksssksksss810,301,400,maksssksksss810.xml,maksssksksss810.png,maksssksksss810-102.png
126,62,147,91,mask_incorrectly_worn,maksssksksss634,400,300,maksssksksss634.xml,maksssksksss634.png,maksssksksss634-103.png
184,91,201,115,with_mask,maksssksksss634,400,300,maksssksksss634.xml,maksssksksss634.png,maksssksksss634-104.png
307,86,323,105,with_mask,maksssksksss634,400,300,maksssksksss634.xml,maksssksksss634.png,maksssksksss634-105.png
370,95,381,108,without_mask,maksssksksss634,400,300,maksssksksss634.xml,maksssksksss634.png,maksssksksss634-106.png
59,131,64,138,without_mask,maksssksksss151,400,200,maksssksksss151.xml,maksssksksss151.png,maksssksksss151-107.png
82,127,89,134,with_mask,maksssksksss151,400,200,maksssksksss151.xml,maksssksksss151.png,maksssksksss151-108.png
101,142,105,146,with_mask,maksssksksss151,400,200,maksssksksss151.xml,maksssksksss151.png,maksssksksss151-109.png
111,132,116,138,with_mask,maksssksksss151,400,200,maksssksksss151.xml,maksssksksss151.png,maksssksksss151-110.png
126,131,132,138,with_mask,maksssksksss151,400,200,maksssksksss151.xml,maksssksksss151.png,maksssksksss151-111.png
134,134,139,140,with_mask,maksssksksss151,400,200,maksssksksss151.xml,maksssksksss151.png,maksssksksss151-112.png
143,134,149,139,with_mask,maksssksksss151,400,200,maksssksksss151.xml,maksssksksss151.png,maksssksksss151-113.png
170,142,180,152,mask_incorrectly_worn,maksssksksss151,400,200,maksssksksss151.xml,maksssksksss151.png,maksssksksss151-114.png
225,105,235,117,with_mask,maksssksksss151,400,200,maksssksksss151.xml,maksssksksss151.png,maksssksksss151-115.png
278,100,288,113,with_mask,maksssksksss151,400,200,maksssksksss151.xml,maksssksksss151.png,maksssksksss151-116.png
22,110,47,136,without_mask,maksssksksss458,400,267,maksssksksss458.xml,maksssksksss458.png,maksssksksss458-117.png
105,86,149,143,with_mask,maksssksksss458,400,267,maksssksksss458.xml,maksssksksss458.png,maksssksksss458-118.png
146,118,182,159,with_mask,maksssksksss458,400,267,maksssksksss458.xml,maksssksksss458.png,maksssksksss458-119.png
86,189,188,304,without_mask,maksssksksss348,301,400,maksssksksss348.xml,maksssksksss348.png,maksssksksss348-120.png
90,84,138,131,mask_incorrectly_worn,maksssksksss112,267,400,maksssksksss112.xml,maksssksksss112.png,maksssksksss112-121.png
328,33,350,57,with_mask,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-122.png
366,70,384,92,mask_incorrectly_worn,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-123.png
249,44,268,63,with_mask,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-124.png
278,71,292,87,with_mask,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-125.png
29,47,46,67,with_mask,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-126.png
37,63,59,88,mask_incorrectly_worn,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-127.png
179,40,205,67,mask_incorrectly_worn,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-128.png
68,67,90,91,without_mask,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-129.png
1,46,18,63,without_mask,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-130.png
137,57,155,76,without_mask,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-131.png
235,51,249,67,without_mask,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-132.png
282,33,301,51,without_mask,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-133.png
89,54,103,71,without_mask,maksssksksss545,400,267,maksssksksss545.xml,maksssksksss545.png,maksssksksss545-134.png
6,56,70,127,with_mask,maksssksksss667,400,225,maksssksksss667.xml,maksssksksss667.png,maksssksksss667-135.png
286,68,348,139,with_mask,maksssksksss667,400,225,maksssksksss667.xml,maksssksksss667.png,maksssksksss667-136.png
344,79,400,137,with_mask,maksssksksss667,400,225,maksssksksss667.xml,maksssksksss667.png,maksssksksss667-137.png
133,29,173,56,without_mask,maksssksksss71,400,225,maksssksksss71.xml,maksssksksss71.png,maksssksksss71-138.png
30,52,74,94,with_mask,maksssksksss71,400,225,maksssksksss71.xml,maksssksksss71.png,maksssksksss71-139.png
18,119,83,191,with_mask,maksssksksss71,400,225,maksssksksss71.xml,maksssksksss71.png,maksssksksss71-140.png
140,70,191,124,with_mask,maksssksksss71,400,225,maksssksksss71.xml,maksssksksss71.png,maksssksksss71-141.png
230,63,344,171,with_mask,maksssksksss71,400,225,maksssksksss71.xml,maksssksksss71.png,maksssksksss71-142.png
375,50,400,116,with_mask,maksssksksss71,400,225,maksssksksss71.xml,maksssksksss71.png,maksssksksss71-143.png
97,21,113,40,without_mask,maksssksksss527,400,225,maksssksksss527.xml,maksssksksss527.png,maksssksksss527-144.png
26,57,46,81,without_mask,maksssksksss527,400,225,maksssksksss527.xml,maksssksksss527.png,maksssksksss527-145.png
141,111,165,137,without_mask,maksssksksss527,400,225,maksssksksss527.xml,maksssksksss527.png,maksssksksss527-146.png
190,76,219,106,with_mask,maksssksksss527,400,225,maksssksksss527.xml,maksssksksss527.png,maksssksksss527-147.png
248,54,269,72,without_mask,maksssksksss527,400,225,maksssksksss527.xml,maksssksksss527.png,maksssksksss527-148.png
244,82,270,108,without_mask,maksssksksss527,400,225,maksssksksss527.xml,maksssksksss527.png,maksssksksss527-149.png
1,33,38,89,with_mask,maksssksksss314,400,267,maksssksksss314.xml,maksssksksss314.png,maksssksksss314-150.png
59,38,93,83,with_mask,maksssksksss314,400,267,maksssksksss314.xml,maksssksksss314.png,maksssksksss314-151.png
169,61,201,102,with_mask,maksssksksss314,400,267,maksssksksss314.xml,maksssksksss314.png,maksssksksss314-152.png
348,57,380,95,with_mask,maksssksksss314,400,267,maksssksksss314.xml,maksssksksss314.png,maksssksksss314-153.png
214,112,236,130,with_mask,maksssksksss314,400,267,maksssksksss314.xml,maksssksksss314.png,maksssksksss314-154.png
301,133,320,152,with_mask,maksssksksss314,400,267,maksssksksss314.xml,maksssksksss314.png,maksssksksss314-155.png
325,133,346,156,with_mask,maksssksksss314,400,267,maksssksksss314.xml,maksssksksss314.png,maksssksksss314-156.png
251,137,272,156,with_mask,maksssksksss314,400,267,maksssksksss314.xml,maksssksksss314.png,maksssksksss314-157.png
236,125,255,145,with_mask,maksssksksss314,400,267,maksssksksss314.xml,maksssksksss314.png,maksssksksss314-158.png
30,48,46,66,with_mask,maksssksksss711,400,283,maksssksksss711.xml,maksssksksss711.png,maksssksksss711-159.png
87,52,101,67,with_mask,maksssksksss711,400,283,maksssksksss711.xml,maksssksksss711.png,maksssksksss711-160.png
186,43,208,67,with_mask,maksssksksss711,400,283,maksssksksss711.xml,maksssksksss711.png,maksssksksss711-161.png
199,110,217,125,with_mask,maksssksksss711,400,283,maksssksksss711.xml,maksssksksss711.png,maksssksksss711-162.png
264,52,283,74,with_mask,maksssksksss711,400,283,maksssksksss711.xml,maksssksksss711.png,maksssksksss711-163.png
305,50,319,62,with_mask,maksssksksss711,400,283,maksssksksss711.xml,maksssksksss711.png,maksssksksss711-164.png
340,45,351,56,with_mask,maksssksksss711,400,283,maksssksksss711.xml,maksssksksss711.png,maksssksksss711-165.png
369,53,383,65,with_mask,maksssksksss711,400,283,maksssksksss711.xml,maksssksksss711.png,maksssksksss711-166.png
113,230,216,368,with_mask,maksssksksss500,301,400,maksssksksss500.xml,maksssksksss500.png,maksssksksss500-167.png
25,54,43,72,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-168.png
69,25,82,38,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-169.png
94,68,111,84,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-170.png
142,18,155,30,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-171.png
158,31,174,48,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-172.png
197,84,218,107,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-173.png
175,15,190,30,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-174.png
201,18,215,32,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-175.png
239,62,257,81,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-176.png
236,49,250,63,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-177.png
164,17,174,25,without_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-178.png
233,22,242,33,without_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-179.png
235,7,245,16,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-180.png
260,31,273,42,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-181.png
247,2,257,12,without_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-182.png
274,15,284,27,mask_incorrectly_worn,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-183.png
294,9,306,22,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-184.png
305,12,310,21,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-185.png
287,10,295,19,without_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-186.png
347,11,359,21,without_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-187.png
376,21,388,33,with_mask,maksssksksss280,400,267,maksssksksss280.xml,maksssksksss280.png,maksssksksss280-188.png
218,57,307,164,with_mask,maksssksksss395,400,267,maksssksksss395.xml,maksssksksss395.png,maksssksksss395-189.png
91,208,189,317,without_mask,maksssksksss239,301,400,maksssksksss239.xml,maksssksksss239.png,maksssksksss239-190.png
29,127,50,157,mask_incorrectly_worn,maksssksksss824,400,267,maksssksksss824.xml,maksssksksss824.png,maksssksksss824-191.png
103,125,121,146,with_mask,maksssksksss824,400,267,maksssksksss824.xml,maksssksksss824.png,maksssksksss824-192.png
170,134,189,156,with_mask,maksssksksss824,400,267,maksssksksss824.xml,maksssksksss824.png,maksssksksss824-193.png
231,162,249,178,without_mask,maksssksksss824,400,267,maksssksksss824.xml,maksssksksss824.png,maksssksksss824-194.png
261,125,281,145,with_mask,maksssksksss824,400,267,maksssksksss824.xml,maksssksksss824.png,maksssksksss824-195.png
298,125,309,138,with_mask,maksssksksss824,400,267,maksssksksss824.xml,maksssksksss824.png,maksssksksss824-196.png
1,116,10,133,with_mask,maksssksksss824,400,267,maksssksksss824.xml,maksssksksss824.png,maksssksksss824-197.png
205,132,215,143,without_mask,maksssksksss824,400,267,maksssksksss824.xml,maksssksksss824.png,maksssksksss824-198.png
68,63,129,128,with_mask,maksssksksss819,400,225,maksssksksss819.xml,maksssksksss819.png,maksssksksss819-199.png
84,39,100,56,with_mask,maksssksksss547,400,267,maksssksksss547.xml,maksssksksss547.png,maksssksksss547-200.png
192,31,212,51,with_mask,maksssksksss547,400,267,maksssksksss547.xml,maksssksksss547.png,maksssksksss547-201.png
315,48,332,68,with_mask,maksssksksss547,400,267,maksssksksss547.xml,maksssksksss547.png,maksssksksss547-202.png
89,155,187,264,without_mask,maksssksksss443,301,400,maksssksksss443.xml,maksssksksss443.png,maksssksksss443-203.png
133,82,157,109,with_mask,maksssksksss519,400,267,maksssksksss519.xml,maksssksksss519.png,maksssksksss519-204.png
217,76,243,103,with_mask,maksssksksss519,400,267,maksssksksss519.xml,maksssksksss519.png,maksssksksss519-205.png
322,62,341,83,with_mask,maksssksksss519,400,267,maksssksksss519.xml,maksssksksss519.png,maksssksksss519-206.png
209,64,232,84,with_mask,maksssksksss308,400,200,maksssksksss308.xml,maksssksksss308.png,maksssksksss308-207.png
238,53,261,77,with_mask,maksssksksss308,400,200,maksssksksss308.xml,maksssksksss308.png,maksssksksss308-208.png
270,77,286,96,with_mask,maksssksksss308,400,200,maksssksksss308.xml,maksssksksss308.png,maksssksksss308-209.png
143,60,168,89,with_mask,maksssksksss740,400,264,maksssksksss740.xml,maksssksksss740.png,maksssksksss740-210.png
275,52,299,80,with_mask,maksssksksss740,400,264,maksssksksss740.xml,maksssksksss740.png,maksssksksss740-211.png
90,256,165,349,without_mask,maksssksksss402,301,400,maksssksksss402.xml,maksssksksss402.png,maksssksksss402-212.png
82,43,113,89,with_mask,maksssksksss437,400,267,maksssksksss437.xml,maksssksksss437.png,maksssksksss437-213.png
131,111,147,131,with_mask,maksssksksss437,400,267,maksssksksss437.xml,maksssksksss437.png,maksssksksss437-214.png
145,114,155,131,with_mask,maksssksksss437,400,267,maksssksksss437.xml,maksssksksss437.png,maksssksksss437-215.png
205,109,232,139,with_mask,maksssksksss437,400,267,maksssksksss437.xml,maksssksksss437.png,maksssksksss437-216.png
276,102,302,131,with_mask,maksssksksss437,400,267,maksssksksss437.xml,maksssksksss437.png,maksssksksss437-217.png
50,167,87,207,without_mask,maksssksksss263,400,278,maksssksksss263.xml,maksssksksss263.png,maksssksksss263-218.png
164,124,216,185,with_mask,maksssksksss263,400,278,maksssksksss263.xml,maksssksksss263.png,maksssksksss263-219.png
305,122,362,187,with_mask,maksssksksss263,400,278,maksssksksss263.xml,maksssksksss263.png,maksssksksss263-220.png
14,52,68,137,without_mask,maksssksksss621,400,226,maksssksksss621.xml,maksssksksss621.png,maksssksksss621-221.png
191,35,208,54,with_mask,maksssksksss621,400,226,maksssksksss621.xml,maksssksksss621.png,maksssksksss621-222.png
162,111,192,137,with_mask,maksssksksss621,400,226,maksssksksss621.xml,maksssksksss621.png,maksssksksss621-223.png
299,46,386,141,with_mask,maksssksksss621,400,226,maksssksksss621.xml,maksssksksss621.png,maksssksksss621-224.png
218,29,235,48,with_mask,maksssksksss621,400,226,maksssksksss621.xml,maksssksksss621.png,maksssksksss621-225.png
112,214,183,319,without_mask,maksssksksss404,301,400,maksssksksss404.xml,maksssksksss404.png,maksssksksss404-226.png
92,46,112,67,with_mask,maksssksksss498,400,272,maksssksksss498.xml,maksssksksss498.png,maksssksksss498-227.png
151,59,163,72,with_mask,maksssksksss498,400,272,maksssksksss498.xml,maksssksksss498.png,maksssksksss498-228.png
166,53,179,67,without_mask,maksssksksss498,400,272,maksssksksss498.xml,maksssksksss498.png,maksssksksss498-229.png
175,76,188,86,without_mask,maksssksksss498,400,272,maksssksksss498.xml,maksssksksss498.png,maksssksksss498-230.png
194,57,207,74,mask_incorrectly_worn,maksssksksss498,400,272,maksssksksss498.xml,maksssksksss498.png,maksssksksss498-231.png
239,53,248,64,with_mask,maksssksksss498,400,272,maksssksksss498.xml,maksssksksss498.png,maksssksksss498-232.png
251,72,264,89,with_mask,maksssksksss498,400,272,maksssksksss498.xml,maksssksksss498.png,maksssksksss498-233.png
292,69,306,89,with_mask,maksssksksss498,400,272,maksssksksss498.xml,maksssksksss498.png,maksssksksss498-234.png
321,56,340,77,without_mask,maksssksksss498,400,272,maksssksksss498.xml,maksssksksss498.png,maksssksksss498-235.png
355,67,375,90,with_mask,maksssksksss498,400,272,maksssksksss498.xml,maksssksksss498.png,maksssksksss498-236.png
130,76,141,85,without_mask,maksssksksss498,400,272,maksssksksss498.xml,maksssksksss498.png,maksssksksss498-237.png
